code_departement,nb_inscrits,nb_abstentions,pct_absetention,nb_votants,nb_blancs,pct_blancs,nb_exprimes,nb_voix_arthaud,pct_voix_arthaud,nb_voix_roussel,nb_voix_macron,pct_voix_macron,nb_voix_lassalle,pct_voix_lasalle,nb_voix_lepen,pct_voix_lepen,nb_voix_zemmour,pct_voix_zemmour,nb_voix_melenchon,pct_voix_melenchon,nb_voix_hidalgo,pct_voix_hidalgo,nb_voix_jadot,pct_voix_jadot,nb_voix_pecresse,pct_voix_pecresse,nb_voix_poutou,pct_voix_poutou,nb_voix_dupont-aignan,pct_voix_dupont-aignan,nom_departement,taux_pauvrete_departement,salaire_moyen_mois_departement,population_departement,niveau_median_mois,nombre_contravention,pct_contravention,nombre_delits,pct_delit,nombre_crime,pct_crime,nb_chomeurs,pct_chomeurs,nb_agriculteurs,pct_agriculteurs,nb_ouvriers,pct_ouvriers,nb_artisans,pct_artisans,nb_employes,pct_employes,nb_professions_intermediaires,pct_professions_intermediaires,nb_cadres,pct_cadres,candidat_gagnant
1,439092,97765,22.26,341327,5657,1.28,333759,1660,0.37,5948.0,92406,21.04,10906,2.48,86962,19.8,27620,6.29,57942,13.19,5656,1.28,15860,3.61,17603,4.0,2177,0.49,9019,2.05,Ain,10.8,2401,663202,2067,11236,1.69,9095,1.69,1134,0.17,20523,3.09,2100,0.32,48468,7.31,14582,2.2,53948,8.13,62375,9.41,36989,5.58,Macron
3,249991,58497,23.39,191494,3749,1.49,185955,1359,0.54,8119.0,49706,19.88,7782,3.11,50315,20.12,12361,4.94,31013,12.4,3280,1.31,5982,2.39,10319,4.12,1503,0.6,4216,1.68,Allier,16.2,2157,334872,1791,6276,1.88,4700,1.57,597,0.18,11956,3.57,3319,0.99,21341,6.37,6100,1.82,25970,7.76,22438,6.7,8737,2.61,Le Pen
7,255859,54114,21.14,201745,3311,1.29,196975,1219,0.47,5710.0,45353,17.72,9033,3.53,49594,19.38,14199,5.54,42837,16.74,4189,1.63,8544,3.33,9553,3.73,1817,0.71,4927,1.92,Ardèche,14.9,2218,331415,1832,6149,1.86,4069,1.35,536,0.16,12340,3.72,2552,0.77,21037,6.35,8841,2.67,24915,7.52,25398,7.66,10337,3.12,Le Pen
15,115745,25019,21.61,90726,1803,1.55,88102,555,0.47,2496.0,25038,21.63,6848,5.91,21570,18.63,4906,4.23,12944,11.18,1810,1.56,2751,2.37,6987,6.03,650,0.56,1547,1.33,Cantal,14.12,2055,144226,1809,1868,1.3,1380,1.0,226,0.16,3444,2.39,3943,2.73,9674,6.71,3231,2.24,12084,8.38,9742,6.75,3662,2.54,Macron
26,382188,84289,22.05,297899,4577,1.19,291424,2041,0.53,6752.0,72228,18.89,9945,2.6,70574,18.46,22010,5.75,65258,17.07,5311,1.38,14234,3.72,13204,3.45,2109,0.55,7758,2.02,Drôme,14.8,2366,519458,1870,12729,2.45,8866,2.01,1186,0.23,19812,3.81,3159,0.61,33071,6.37,12414,2.39,38039,7.32,42452,8.17,21852,4.21,Macron
38,975578,221918,22.74,753660,11750,1.2,738202,3757,0.38,16059.0,197330,20.22,17932,1.83,161659,16.57,50939,5.22,178803,18.32,14289,1.46,46280,4.74,30742,3.15,5356,0.54,15056,1.54,Isère,11.8,2624,1284948,2022,37372,2.91,23523,2.22,2325,0.18,40635,3.16,3064,0.24,74695,5.81,27553,2.14,95254,7.41,116477,9.06,85893,6.68,Macron
42,689992,168482,24.41,521510,8212,1.19,510062,3106,0.45,12005.0,135145,19.58,14168,2.05,118432,17.16,37728,5.46,119487,17.31,9272,1.34,22754,3.29,23645,3.42,3659,0.53,10661,1.54,Loire,15.8,2347,769029,1830,18406,2.39,11893,1.8,1364,0.18,24919,3.24,3202,0.42,51092,6.64,15940,2.07,56585,7.36,60694,7.89,29138,3.79,Macron
43,180706,37000,20.47,143706,2837,1.56,139655,1020,0.56,3493.0,32417,17.93,7817,4.32,38629,21.37,9529,5.27,24332,13.46,2491,1.37,5796,3.2,9560,5.29,1205,0.66,3366,1.86,Haute-Loire,12.3,2131,227284,1841,3813,1.68,2698,1.3,381,0.17,6066,2.67,2837,1.25,16713,7.35,5974,2.63,18244,8.03,17604,7.75,6475,2.85,Le Pen
63,541446,120938,22.33,420508,7750,1.43,409727,2852,0.52,14249.0,114697,21.18,17310,3.19,85584,15.8,23692,4.37,90777,16.76,9574,1.76,20161,3.72,19513,3.6,3645,0.67,7673,1.41,Puy-de-Dôme,13.9,2440,662285,1921,13884,2.1,9286,1.6,1148,0.17,22216,3.35,3593,0.54,40663,6.14,13437,2.03,52090,7.87,54714,8.26,35324,5.33,Macron
69,1182569,255859,21.63,926710,12719,1.07,910060,3779,0.31,15963.0,278526,23.55,17633,1.49,150751,12.74,74248,6.27,229187,19.38,15910,1.34,51953,4.39,50314,4.25,5275,0.44,16521,1.39,Rhône,14.8,2765,1893692,2040,81130,4.29,44793,2.78,3998,0.21,68718,3.63,3178,0.17,86748,4.58,37488,1.98,136249,7.19,172271,9.1,161040,8.5,Macron
73,320709,68929,21.49,251780,3931,1.22,246358,1205,0.37,5536.0,64689,20.17,8081,2.51,56733,17.68,18045,5.62,49858,15.54,4418,1.37,15642,4.87,13608,4.24,1849,0.57,6694,2.08,Savoie,11.2,2402,442468,2022,8575,1.94,5906,1.38,879,0.2,12147,2.75,1381,0.31,28173,6.37,11712,2.65,36238,8.19,43051,9.73,21457,4.85,Macron
74,920446,212405,23.07,708041,10812,1.17,693711,2885,0.31,10067.0,219494,23.84,19219,2.08,128225,13.93,53366,5.79,133879,14.54,11599,1.26,52532,5.7,36988,4.01,4923,0.53,20534,2.23,Haute-Savoie,11.2,2485,841482,2343,18650,2.22,12792,1.68,2005,0.24,27020,3.21,1984,0.24,58409,6.94,22438,2.67,74365,8.84,87407,10.39,50406,5.99,Macron
